RNU11,0,0,2,3,5,2,1,1,2,0,1,1,0,1,0,5
RAD51AP2,0,0,1,0,0,0,0,1,0,1,0,2,0,2,0,0
RPS16,3430,9442,10696,5085,6558,5519,8449,44599,18863,27366,10465,14112,19933,18768,19027,6085
PADI6,0,0,0,4,0,0,0,0,2,0,0,0,0,0,0,0
TIRAP,92,202,286,296,154,170,218,195,342,122,221,125,356,131,136,155
GPR85,41,32,26,120,111,102,72,73,62,117,15,111,65,47,75,79
LOC642924,0,4,0,5,5,4,15,4,16,5,37,3,1,0,11,1
SPIN2B,34,83,48,33,18,24,33,110,32,61,119,35,78,17,52,12
DNAJC5,1506,2307,4317,2424,3461,4337,1859,1606,5851,2048,5442,2872,2925,4652,2166,3221
TMEM204,149,210,292,450,233,307,118,342,268,303,222,314,467,325,842,226
FBLN5,720,894,687,1793,915,1645,1093,744,653,1339,167,754,1095,1041,2248,896
CDC45,34,166,122,29,240,34,179,82,483,118,32,146,149,111,29,307
LOC284788,0,0,0,0,0,0,2,2,10,2,0,0,4,0,0,0
NXF2B,0,0,1,0,1,0,0,0,0,0,1,0,0,0,2,1
LOC100131257,2,3,0,0,1,1,0,0,0,1,0,1,0,0,0,0
OSBP,1556,2154,1910,2115,2659,2484,2562,943,2549,2155,2656,1605,2898,2024,2028,2604
GNB2L1,6892,18142,18833,12442,8999,20401,18068,36705,23784,15848,20850,21342,24576,34611,28899,8772
ZP4,0,0,0,0,0,0,0,0,10,0,0,0,0,0,0,0
TNKS1BP1,2908,4181,3724,3035,1913,4932,2880,838,2715,2522,3192,2234,3480,3397,2767,1728
CPT1C,16,33,37,60,421,57,91,22,926,39,1059,80,63,39,16,443
TTC9,485,549,945,689,522,918,1064,969,845,1406,2719,1684,2462,2015,550,501
ACVR2A,222,449,173,360,828,565,370,437,532,613,1069,595,480,979,545,748
TPSAB1,383,136,419,749,287,1853,61,512,512,790,31,558,557,1171,897,280
LTA4H,2570,4438,3359,5077,2073,5655,3415,2839,2495,4084,1859,4345,4250,3438,3680,2220
ZNF582,18,23,15,36,33,50,12,71,58,45,185,46,46,36,98,39
NUDT18,54,165,172,160,104,124,127,318,132,160,296,217,230,308,175,79
RAD51AP1,54,249,101,71,477,50,135,170,626,139,67,496,351,225,88,491
RHOA,7814,11018,12175,15998,14938,17818,18230,26792,15609,21455,18691,26733,21548,22766,25006,14547
LCLAT1,349,696,463,485,566,332,799,379,988,517,806,1142,597,643,516,473
NDUFAF4,74,192,219,166,699,216,360,248,469,242,326,272,227,178,369,797
PDGFRL,68,378,81,142,108,109,652,245,268,418,339,397,370,345,173,92
DHX32,623,843,1325,935,581,1391,994,2203,2770,981,1006,1523,1701,1155,1153,560
CCDC144A,0,9,4,6,5,12,0,0,0,1,0,4,0,0,0,7
PLCD3,110,214,554,217,126,260,236,275,91,167,42,460,561,154,167,93
PBX2,615,874,732,1007,787,1309,655,660,912,776,639,881,582,728,747,756
TMEM9B,1033,1259,937,1535,1348,2082,2089,2885,1988,2102,4427,2020,3304,2478,3758,1335
BMS1,346,839,961,818,999,833,1039,318,770,578,516,662,779,575,425,942
COPS6,620,1110,1059,754,848,1181,2080,1276,2958,1492,2298,5959,1847,1747,1201,852
MAP1LC3C,64,6,16,141,16,29,2,30,24,55,7,39,27,75,98,12
SIN3A,1207,1259,1714,1852,2233,1973,1194,1322,2161,1760,2361,1609,1753,1620,1803,2145
ECD,255,560,505,539,388,642,617,567,893,768,828,718,757,389,573,444
ZNF133,172,230,204,226,239,174,253,149,420,204,259,254,120,254,235,255
NECAP2,1385,1046,905,2056,2037,1627,1196,2423,2573,2992,1041,3450,4206,2511,2955,1894
HAR1A,11,18,25,6,16,11,17,24,37,3,23,11,2,18,38,15
TMOD1,389,692,449,569,602,647,405,626,1564,486,1078,417,1030,457,853,562
